"RID";"FD";"TD";"KEY";"TP_CDR";"TP_CDR2";"GPRS_UNION";"GEN_TAP_MODE";"TRANSIT_START";"TRANSIT_END";"TRANSIT_PERIOD";"TAP_NOTIFICATION";"TASK_RID";"NUMBER_TYPES"
4469;1546300800;1609459199;"23162.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4468;1609459200;4070908800;"23162.2";1959;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
3729;1546300800;1609459199;"23163.2";484;;;2;"01:00";"23:59";720;720;;
3728;1609459200;4070908800;"23163.2";483;;1;1;"01:00";"23:59";720;720;;"1,2,3"
3965;1546300800;1609459199;"23164.2";484;;;2;"01:00";"23:59";720;720;;
3964;1609459200;4070908800;"23164.2";1731;463;1;1;"01:00";"23:59";720;720;1029357;"1,2,3"
3883;1546300800;1609459199;"23165.2";484;;;2;"01:00";"23:59";720;720;;
3882;1609459200;4070908800;"23165.2";1696;483;1;1;"01:00";"23:59";720;720;1029286;"1,2,3"
2268;1546300800;1577836799;"23166.2";484;;;1;"01:00";"23:59";720;720;;
2267;1577836800;4070908800;"23166.2";943;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
6620;1657843200;4070908800;"23167.1";483;;1;2;;;;720;;"1,2,3"
2148;1546300800;1583020799;"23167.2";484;;;1;"01:00";"23:59";720;720;;
5553;1583020800;1657843199;"23167.2";485;;1;1;"01:00";"23:59";720;720;;"1,2,3"
3761;1546300800;1609459199;"23168.2";484;;;2;"01:00";"23:59";720;720;;
3760;1609459200;4070908800;"23168.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
4214;1546300800;1609459199;"23169.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4213;1609459200;4070908800;"23169.2";1818;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
3927;1546300800;1609459199;"23170.2";484;;;2;"01:00";"23:59";720;720;;
3926;1609459200;4070908800;"23170.2";1714;463;1;1;"01:00";"23:59";720;720;1029320;"1,2,3"
4124;1546300800;1609459199;"23171.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4123;1609459200;4070908800;"23171.2";1792;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
4391;1546300800;1609459199;"23172.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4390;1609459200;4070908800;"23172.2";1895;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
4164;1546300800;1609459199;"23173.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4163;1609459200;4070908800;"23173.2";1795;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
3775;1546300800;1609459199;"23174.2";484;;;2;"01:00";"23:59";720;720;;
3774;1609459200;4070908800;"23174.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
3372;1546300800;1593561599;"23175.2";484;;;2;"01:00";"23:59";720;720;;
3371;1593561600;4070908800;"23175.2";1438;483;1;1;"01:00";"23:59";720;720;1028551;"1,2,3"
5250;1643673600;4070908800;"23176.1";1203;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
2718;1546300800;1588291199;"23176.2";484;;;1;"01:00";"23:59";720;720;;
5251;1588291200;1643673599;"23176.2";1203;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
1899;1546300800;1559347199;"23177.2";484;;;1;"01:00";"23:59";720;720;;
1898;1559347200;4070908800;"23177.2";443;463;1;1;"00:00";"23:59";720;720;;"1,2,3"
6622;1657843200;4070908800;"23178.1";483;;1;2;;;;;;"1,2,3"
2144;1546300800;1583020799;"23178.2";484;;;1;"01:00";"23:59";720;720;;
5595;1583020800;1657843199;"23178.2";485;;1;1;"01:00";"23:59";720;720;;"1,2,3"
4229;1546300800;1609459199;"23179.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
