"RID";"FD";"TD";"KEY";"TAX_PROFILE";"SERVICE_PROFILE";"TP_CHECK";"CHECK_MODE";"TP_REPRICE";"TRANSIT_TAP_MODE";"TRANSIT_START";"TRANSIT_END";"TRANSIT_PERIOD";"GEN_RAP";"TRANSIT_RAP";"PASS_RC_LESS_IC";"IOT_THRESHOLD";"IOT_DEBUG"
12207;1546300800;1676505599;"22799.2";3;;;;;1;;;;1;1;0;;
1639;1546300800;4070908800;"22800.2";3;;;;;1;;;;1;1;0;;
1640;1546300800;4070908800;"22801.2";3;;;;;1;;;;1;0;0;;
1641;1546300800;4070908800;"22802.2";3;;;;;1;;;;1;0;0;;
1642;1546300800;4070908800;"22803.2";3;;;;;1;;;;1;1;0;;
9565;1577836800;4070908800;"22804.1";2;;;;;1;;;;1;0;0;;0
3490;1546300800;1577836799;"22804.2";3;;;;;1;;;;1;1;0;;
9807;1577836800;4070908800;"22804.2";2;;;;;1;;;;1;0;0;;0
1644;1546300800;4070908800;"22805.2";3;;;;;1;;;;1;1;0;;
1645;1546300800;4070908800;"22806.2";3;;;;;1;;;;1;1;0;;
1646;1546300800;4070908800;"22807.2";3;;;;;1;;;;1;1;0;;
1647;1546300800;4070908800;"22808.2";3;;;;;1;;;;1;1;0;;
1648;1546300800;4070908800;"22809.2";3;;;;;1;;;;1;1;0;;
1649;1546300800;4070908800;"22810.2";3;;;;;1;;;;1;1;0;;
1650;1546300800;4070908800;"22811.2";3;;;;;1;;;;1;0;0;;
1651;1546300800;4070908800;"22812.2";3;;;;;1;;;;1;0;0;;
1652;1546300800;4070908800;"22813.2";3;;;;;1;;;;1;1;0;;
10546;1609459200;4070908800;"22814.1";0;;;;;1;;;;1;0;0;;0
1653;1546300800;4070908800;"22814.2";0;;;;;1;;;;1;1;0;;
1654;1546300800;4070908800;"22815.2";3;;;;;1;;;;1;0;0;;
1655;1546300800;4070908800;"22816.2";3;;;;;1;;;;1;1;0;;
1656;1546300800;4070908800;"22817.2";3;;;;;1;;;;1;1;0;;
1657;1546300800;4070908800;"22818.2";3;;;;;1;;;;1;1;0;;
1658;1546300800;4070908800;"22819.2";3;;;;;1;;;;1;1;0;;
1659;1546300800;4070908800;"22820.2";3;;;;;1;;;;1;1;0;;
1660;1546300800;4070908800;"22821.2";3;;;;;1;;;;1;1;0;;
1661;1546300800;4070908800;"22822.2";3;;;;;1;;;;1;0;0;;
1662;1546300800;4070908800;"22823.2";3;;;;;1;;;;1;1;0;;
1663;1546300800;4070908800;"22824.2";3;;;;;1;;;;1;1;0;;
1664;1546300800;4070908800;"22825.2";3;;;;;1;;;;1;1;0;;
1665;1546300800;4070908800;"22826.2";3;;;;;1;;;;1;1;0;;
1666;1546300800;4070908800;"22827.2";3;;;;;1;;;;1;1;0;;
1667;1546300800;4070908800;"22828.2";3;;;;;1;;;;1;1;0;;
1668;1546300800;4070908800;"22829.2";3;;;;;1;;;;1;1;0;;
1669;1546300800;4070908800;"22830.2";3;;;;;1;;;;1;1;0;;
1670;1546300800;4070908800;"22831.2";3;;;;;1;;;;1;1;0;;
1671;1546300800;4070908800;"22832.2";3;;;;;1;;;;1;0;0;;
1672;1546300800;4070908800;"22833.2";3;;;;;1;;;;1;0;0;;
1673;1546300800;4070908800;"22834.2";3;;;;;1;;;;1;1;0;;
1674;1546300800;4070908800;"22835.2";3;;;;;1;;;;1;0;0;;
1675;1546300800;4070908800;"22836.2";3;;;;;1;;;;1;0;0;;
1676;1546300800;4070908800;"22837.2";3;;;;;1;;;;1;1;0;;
1677;1546300800;4070908800;"22838.2";3;;;;;1;;;;1;1;0;;
1678;1546300800;4070908800;"22839.2";3;;;;;1;;;;1;1;0;;
1679;1546300800;4070908800;"22840.2";3;;;;;1;;;;1;1;0;;
1680;1546300800;4070908800;"22841.2";3;;;;;1;;;;1;0;0;;
1681;1546300800;4070908800;"22842.2";3;;;;;1;;;;1;1;0;;
1682;1546300800;4070908800;"22843.2";3;;;;;1;;;;1;0;0;;
1683;1546300800;4070908800;"22844.2";3;;;;;1;;;;1;1;0;;
1684;1546300800;4070908800;"22845.2";3;;;;;1;;;;1;1;0;;
1685;1546300800;4070908800;"22846.2";3;;;;;1;;;;1;1;0;;
1686;1546300800;4070908800;"22847.2";3;;;;;1;;;;1;1;0;;
1687;1546300800;4070908800;"22848.2";3;;;;;1;;;;1;0;0;;
1688;1546300800;4070908800;"22849.2";3;;;;;1;;;;1;1;0;;
1689;1546300800;4070908800;"22850.2";3;;;;;1;;;;1;1;0;;
1690;1546300800;4070908800;"22851.2";3;;;;;1;;;;1;1;0;;
1691;1546300800;4070908800;"22852.2";3;;;;;1;;;;1;1;0;;
1692;1546300800;4070908800;"22853.2";3;;;;;1;;;;1;0;0;;
1693;1546300800;4070908800;"22854.2";3;;;;;1;;;;1;1;0;;
1694;1546300800;4070908800;"22855.2";3;;;;;1;;;;1;0;0;;
1695;1546300800;4070908800;"22856.2";3;;;;;1;;;;1;1;0;;
1696;1546300800;4070908800;"22857.2";3;;;;;1;;;;1;1;0;;
1697;1546300800;4070908800;"22858.2";3;;;;;1;;;;1;0;0;;
1698;1546300800;4070908800;"22859.2";3;;;;;1;;;;1;1;0;;
1699;1546300800;4070908800;"22860.2";3;;;;;1;;;;1;1;0;;
1700;1546300800;4070908800;"22861.2";3;;;;;1;;;;1;1;0;;
1701;1546300800;4070908800;"22862.2";3;;;;;1;;;;1;1;0;;
1702;1546300800;4070908800;"22863.2";3;;;;;1;;;;1;1;0;;
1703;1546300800;4070908800;"22864.2";3;;;;;1;;;;1;1;0;;
1704;1546300800;4070908800;"22865.2";3;;;;;1;;;;1;1;0;;
1705;1546300800;4070908800;"22866.2";3;;;;;1;;;;1;1;0;;
1706;1546300800;4070908800;"22867.2";3;;;;;1;;;;1;1;0;;
1707;1546300800;4070908800;"22868.2";3;;;;;1;;;;1;1;0;;
1708;1546300800;4070908800;"22869.2";3;;;;;1;;;;1;0;0;;
