"RID";"TO_EPOCH(FD,0)";"TO_EPOCH(TD,0)";"KEY";"ID";"PLAN_ID";"CONN_TYPE_ID";"ZONE_NAME";"INTERVAL_GROUP_ID";"TRANGE_GROUP_ID";"TRANGE_ID";"CURRENCY_ID";"CTL1";"CTL2";"CTL3";"SERVICE_CLASS";"PRICE";"COEF";"FS";"CL";"REPRICE_MODE";"P_FD"
9306;1583020800;4070908800;"1083.2.641.185.202.202.";5694;1083;2;641;185;202;202;2;1;0;0;;0.9;;;;0;"20190101"
9321;1583020800;4070908800;"1083.2.641.185.203.203.";5709;1083;2;641;185;203;203;2;1;0;0;;0.6;;;;0;"20190101"
9308;1583020800;4070908800;"1083.2.741.185.202.202.";5696;1083;2;741;185;202;202;2;1;0;0;;1.3;;;;0;"20190101"
9305;1583020800;4070908800;"1083.2.741.185.203.203.";5693;1083;2;741;185;203;203;2;1;0;0;;0.8;;;;0;"20190101"
9307;1583020800;4070908800;"1083.2.761.185.202.202.";5695;1083;2;761;185;202;202;2;2;0;0;;1.1;;;;0;"20190101"
9328;1583020800;4070908800;"1083.2.761.185.203.203.";5716;1083;2;761;185;203;203;2;2;0;0;;0.7;;;;0;"20190101"
9310;1583020800;4070908800;"1083.2.762.185.202.202.";5698;1083;2;762;185;202;202;2;2;0;0;;2.95;;;;0;"20190101"
9309;1583020800;4070908800;"1083.2.762.185.203.203.";5697;1083;2;762;185;203;203;2;2;0;0;;2.25;;;;0;"20190101"
9325;1583020800;4070908800;"1083.2.763.185.202.202.";5713;1083;2;763;185;202;202;2;2;0;0;;3.85;;;;0;"20190101"
9323;1583020800;4070908800;"1083.2.763.185.203.203.";5711;1083;2;763;185;203;203;2;2;0;0;;3;;;;0;"20190101"
9314;1583020800;4070908800;"1083.2.764.185.202.202.";5702;1083;2;764;185;202;202;2;2;0;0;;3.75;;;;0;"20190101"
9311;1583020800;4070908800;"1083.2.764.185.203.203.";5699;1083;2;764;185;203;203;2;2;0;0;;2.96;;;;0;"20190101"
9315;1583020800;4070908800;"1083.2.765.185.202.202.";5703;1083;2;765;185;202;202;2;2;5;0;;3.85;;;;0;"20190101"
9312;1583020800;4070908800;"1083.2.765.185.203.203.";5700;1083;2;765;185;203;203;2;2;5;0;;3;;;;0;"20190101"
9605;1583020800;1593561600;"1083.27..185.202.202.";5704;1083;27;;185;202;202;2;1;2;2;;0.208;;;;0;"20190101"
9662;1583020800;1593561600;"1083.27..185.203.203.";5714;1083;27;;185;203;203;2;1;2;2;;0.15;;;;0;"20190101"
9303;1583020800;4070908800;"1083.29..185.164.164.";5691;1083;29;;185;164;164;2;1;2;3;;0;;;;0;"20190101"
9313;1583020800;4070908800;"1083.3...164.164.";5701;1083;3;;;164;164;2;0;0;0;;0;;;;0;"20190101"
9319;1583020800;4070908800;"1083.4...164.164.";5707;1083;4;;;164;164;2;2;1;0;;0.1;;;;0;"20190101"
9965;1583020800;4070908800;"1083.7..303.164.164.";5705;1083;7;;303;164;164;2;10;0;0;;10;0;;;;"20190101"
9367;1577836800;4070908800;"1103.1..163.164.164.";5755;1103;1;;163;164;164;3;0;0;0;;0;;;;0;"20200101"
9365;1577836800;4070908800;"1103.12...164.164.";5753;1103;12;;;164;164;3;0;0;0;;0;;;;0;"20200101"
9371;1577836800;4070908800;"1103.2.401.163.164.164.";5759;1103;2;401;163;164;164;3;1;0;0;;0.3;;;;0;"20200101"
9372;1577836800;4070908800;"1103.2.402.163.164.164.";5760;1103;2;402;163;164;164;3;2;0;0;;0.3;;;;0;"20200101"
9373;1577836800;4070908800;"1103.2.403.163.164.164.";5761;1103;2;403;163;164;164;3;2;0;0;;0.3;;;;0;"20200101"
9374;1577836800;4070908800;"1103.2.404.163.164.164.";5762;1103;2;404;163;164;164;3;2;0;0;;0.3;;;;0;"20200101"
9375;1577836800;4070908800;"1103.2.405.165.164.164.";5763;1103;2;405;165;164;164;3;2;5;0;;12;;;;0;"20200101"
9376;1577836800;4070908800;"1103.2.406.165.164.164.";5764;1103;2;406;165;164;164;3;2;5;0;;5.5;;;;0;"20200101"
9874;1577836800;4070908800;"1103.2.861.163.164.164.";5758;1103;2;861;163;164;164;3;2;0;0;;0.3;0;;;;"20200101"
9661;1577836800;1593561600;"1103.27..163.164.164.";5757;1103;27;;163;164;164;3;1;2;2;;0.155;;;;0;"20200101"
9363;1577836800;4070908800;"1103.29..163...";5751;1103;29;;163;;;3;1;2;3;;0;;;;0;"20200101"
9364;1577836800;4070908800;"1103.3...164.164.";5752;1103;3;;;164;164;3;0;0;0;;0;;;;0;"20200101"
9368;1577836800;4070908800;"1103.4...164.164.";5756;1103;4;;;164;164;3;2;1;0;;0.05;;;;0;"20200101"
9366;1577836800;4070908800;"1103.7..283.164.164.";5754;1103;7;;283;164;164;3;10;0;0;;0.01;;;;0;"20200101"
9399;1580515200;4070908800;"1104.1..163.164.164.";5773;1104;1;;163;164;164;3;0;0;0;;0;;;;0;"20200201"
